date,BR13,BR12,G16/BR11,BL15/BR10,R05/BR09,BR08,BR07,BR06,BR05,BR04,BR03,BR02,BR01,BR14,BR15,BR16,BR17,BR18,BR19,BR20,BR21,BR22,BR23,BL23/BR24,G03A,G01,G02,G03,G04,G05,G06,G07,G08,O05/G09,R08/G10,G11,O04,O03,O02,O01,R09,R10/BL12,R11/G14,R12,O11/R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R22A,R23,R24,R25,R26,R27,R28,BL01,BL02,BL03,BL04,BL05,BL06,BL07,BL08,BL09,BL10,G12/BL11,BL13,O07/BL14,BL16,BL17,BL18,BL19,BL20,BL21,BL22,R02,R03,R04,R06,G13,O08/G15,G17,G18,G19,O19,O18,O17,O16,O15,O14,O13,O12,O10,O09,O06/R07,O54,O53,O52,O51,O50,O21,O20
2016/4/23,10102,23895,47179,114693,35274,25778,18938,7745,5512,22420,3874,10359,22621,17019,23790,13680,15375,8708,16043,8494,12958,14154,3897,39254,4700,28540,20649,28450,33511,31178,18535,70633,44382,63290,72540,11163,67520,48775,44648,38952,31905,359623,88222,41219,39419,72958,84745,63944,44386,20774,55907,12976,14030,34170,15678,6689,4445,21843,18980,12435,92716,11564,24108,13220,37786,31907,59500,80985,72832,44997,59108,162370,38333,82878,83580,45655,121172,32102,32048,21269,20663,18817,62683,27913,21012,14204,43039,29578,32765,37608,20351,24417,9119,5063,8191,15971,18192,22543,26212,47449,51866,22089,22497,22710,21384,21865,15974,16827
2016/4/24,9911,19318,35791,88970,28420,19812,14867,6706,4549,17408,3035,6776,15558,14303,20188,10390,12591,8471,12232,6829,10780,11416,3363,31053,4132,21513,17140,23268,26855,25357,15018,57363,34941,47601,46431,8981,54983,39812,36134,32844,23605,332302,72438,29922,35061,60309,63491,48974,35777,15408,43084,10705,10560,26915,12920,5271,3410,17848,14810,11195,78818,10374,19721,10891,31596,24536,48303,69832,58040,37682,49452,137227,30094,57272,63469,33169,95561,26489,25531,17520,16886,14008,51478,20852,17460,11566,32055,27852,26403,29578,15424,17750,7433,4275,6294,12734,15441,19138,22628,35816,42273,17553,17695,18520,17430,18259,12717,13742
2016/4/25,11495,30825,72167,87822,48340,30365,22907,7667,6018,29658,4349,8813,11332,20264,18782,35601,30386,10649,15594,5998,16270,16304,8560,55094,4137,22840,22275,31412,41342,32084,17783,53018,35509,64236,54845,18895,70426,52347,50277,41886,49924,269294,67320,44896,49167,49499,66976,54423,44894,26383,62612,15016,17202,35105,11058,6737,5859,27170,19402,14615,74322,13349,22579,13813,42243,40849,53794,71245,80132,49959,53439,119703,42919,59458,72476,40436,107628,39108,33911,29934,24718,20555,55284,32486,13938,14901,74122,42868,41357,41469,25954,21901,9181,8633,8656,18603,17390,24772,33230,54709,45372,23693,24051,23042,24185,23037,17336,16660
2016/4/26,11420,32320,74091,91999,49004,31842,23413,7984,6335,31082,4580,9297,13757,20927,19372,36317,31122,10879,15822,6183,16554,16525,8827,55460,4613,22867,23233,31905,41966,32749,18230,54240,37157,67098,57484,19211,71734,53460,50919,42578,51709,265095,72515,45397,49860,52008,68545,57462,46409,26953,63268,15391,18350,36147,11584,6810,6143,27823,20024,15236,73081,13504,23195,13952,42660,41560,55428,72212,82671,51323,54174,121538,45800,59522,75528,41885,109877,40923,34325,30746,25278,19834,46738,32189,13864,15145,75113,43948,42863,42888,26001,22170,9631,8810,8939,19053,17391,25003,34090,54940,48257,24345,24677,23754,23976,23031,17554,16865
2016/4/27,12582,32599,76085,94240,49796,31978,24079,8366,6536,31439,4620,9143,12925,21239,21431,37698,31909,11505,16551,6373,17303,16952,9256,56650,4491,23169,23804,32862,43351,33828,18942,56075,37885,68296,58389,20149,73578,54894,52061,43443,51715,269902,75105,45665,51352,52511,69452,59360,49489,26950,64065,15403,18003,35802,11009,7208,6311,28249,19876,14922,73391,13843,23418,14163,42899,41066,56126,75165,83857,52200,54537,132711,47963,63265,76647,42645,111372,41251,34524,31061,25914,20804,55115,34865,14540,15776,77425,44923,44045,42897,26980,22636,9655,9116,9006,20093,17784,25337,35120,56837,47895,24500,24839,24258,25003,24140,17841,17311
2016/4/28,13323,33128,78496,98834,50378,32244,24241,7991,6342,31200,4627,8867,12657,21296,21574,37606,32274,11368,16159,6041,16796,17226,9081,57075,4771,22667,23079,32624,42720,33058,19100,55932,39111,68517,59351,20191,74528,55288,52037,43340,51283,277680,76126,44743,50877,52717,70548,60261,47169,26733,64109,15535,18033,35998,11931,6828,6229,28195,19707,14820,72536,13730,23296,14029,42689,41134,55788,75400,84252,51937,55347,130106,47271,64045,77405,43347,114104,41532,34512,31093,25458,21723,55865,34792,14503,16019,79017,46081,43806,44035,26349,22575,9403,8849,8924,19820,17794,25824,35136,55834,48936,24234,24760,24282,24582,23486,17673,17253
2016/4/29,14005,34926,81048,113576,52871,33899,25382,8707,6475,34396,4818,9723,17094,22483,24499,37358,33049,12179,17619,7398,18416,18241,9248,69558,4863,25919,25145,35096,45528,36103,20401,67426,43425,72091,66291,20301,77534,57699,54345,45177,51996,355990,87866,49787,54215,63403,83448,66591,51129,28244,67987,16701,18520,41000,14515,7528,6338,30437,21227,16023,88175,15141,26627,15328,45590,42843,62673,85992,88584,54645,61371,155610,49630,74675,86883,48965,129144,43542,37290,33369,28213,24274,61985,37305,17046,17411,82023,47797,46435,50272,27575,23982,10250,9322,9292,20332,19166,27723,37356,59888,54643,25602,26478,25838,25845,25111,18882,18416
2016/4/30,11137,23946,50336,118853,35914,23726,19196,7505,5268,22731,3915,9891,22359,17482,31334,15099,17964,9646,16208,7763,13765,14821,4468,55251,4943,25835,20899,29591,35161,33513,17951,76803,44238,59038,51673,11187,67323,49150,44509,39821,30032,368621,89518,42127,42216,63439,80217,62298,44261,20257,53277,12975,13045,32649,15553,6703,5184,20010,18487,12746,89145,11914,30435,13936,38563,32452,60305,86570,73840,45687,58814,175009,37118,72039,81482,43190,116745,34925,31215,21397,21298,17692,61335,26650,22676,12840,44449,35010,34350,38131,20027,22700,10027,4858,7711,16595,17912,22761,29083,42645,52349,22430,22138,25157,21169,23065,15863,16056
2016/5/1,10777,18767,37818,99486,27801,18626,15866,7148,4513,18255,3367,8430,17699,14095,24390,12320,13322,6741,12552,5920,10829,11941,3619,45705,4299,22595,17619,24754,29266,29827,15459,61653,35964,45932,52049,7978,57583,42115,37464,34412,23232,343529,79028,31977,38696,57609,71979,52245,45151,15890,43522,10574,10304,28438,14176,5512,3777,17035,15626,10739,82022,10817,24869,11957,34464,26785,50605,76535,61889,38074,54851,156677,30809,62986,67465,37790,105250,27943,26987,17381,17936,15039,60950,22708,20006,10702,34934,29625,27566,33562,16188,18403,7519,4399,6987,13292,15945,20008,24812,37873,46882,18692,19277,20483,18672,19694,13934,14469
2016/5/2,11266,20889,46281,97782,37161,24244,18187,6991,4780,24815,3527,8383,18545,18406,19449,15717,16834,9800,14244,7316,13905,14352,4047,38749,4075,24069,19862,27802,33661,28421,15829,54651,31403,52141,52400,18074,63663,45519,41062,36241,42482,292778,72223,40931,39817,53480,70245,60032,39819,23435,56776,11943,12028,33691,13570,5652,5100,23089,18536,11719,88155,10551,23776,12393,36738,33757,48685,73962,68798,42698,55404,128591,36111,56332,62666,31834,101903,31948,30173,23212,22194,17720,48976,24560,14586,13369,42654,29687,29630,32853,23196,19097,7429,4744,7155,16135,15804,23194,27716,40672,48041,19712,21646,20511,20434,20548,14829,14434
2016/5/3,12242,32371,76257,96175,50125,31173,23862,8061,6364,30956,4445,9116,14457,21101,20321,35831,31057,11085,15614,6085,16701,16753,8808,55983,4316,23315,23057,31542,41307,32874,18352,54200,37589,66818,60349,19934,71768,53042,50962,42565,51384,274267,78234,47300,51761,52569,72061,59609,48602,26525,62297,15367,17906,37476,11953,6742,6007,26756,19802,14473,73126,13626,23509,13432,41699,41271,54654,72395,82826,51256,56554,127518,47455,61378,73796,41851,107887,40569,33927,30450,25339,20883,54933,34107,14615,16221,77672,44621,43491,43149,25999,22161,9248,8878,8904,19507,17277,25607,35422,57764,52377,24100,24441,23855,24285,23318,17272,16985
2016/5/4,12097,32987,76935,97977,50418,31690,24164,8108,6299,31253,4592,9436,14659,21506,20396,36754,31354,11303,16189,6471,16782,16971,8893,57255,4545,23573,23698,32542,42311,33071,18468,55733,37944,68437,63246,20428,73491,54113,51078,42939,51806,275823,82273,48396,51560,52488,72852,61476,50453,26669,63197,15192,17687,37247,11949,7079,6123,27470,20123,14626,75024,13805,23917,13969,42413,41606,55184,74250,83113,52135,58508,131399,48599,63245,76790,43933,110529,40997,34321,30985,25650,21231,55367,34702,15302,16148,79812,44599,43645,43692,26709,22671,9373,8835,8817,19536,17740,25364,36009,57761,53120,24691,24870,24132,24316,23398,17611,17060
2016/5/5,12558,33328,80073,101621,52412,32680,24733,8036,6282,30577,4581,9271,13165,21592,21326,36677,31921,11300,16102,6232,17238,16535,9773,60089,4612,22987,23727,32690,42716,33150,18885,56367,38147,69147,64751,20280,73701,53823,51769,42721,50823,291018,81964,47255,53415,52898,71905,61051,47429,26553,63522,15292,18391,37126,11722,6855,6052,27834,19860,14900,75419,13759,24297,13720,42183,42196,55781,75561,83927,51835,56572,131245,48882,64352,78115,44501,116348,42010,34157,31052,26192,20981,57639,35070,14092,16222,80728,46220,44643,42995,26604,22493,9285,8976,8936,19319,17685,25742,36233,57912,53007,24445,24919,24072,24700,23624,17895,17147
2016/5/6,13871,35381,82718,121311,55284,34381,25335,8434,6586,33310,4770,9714,16412,22267,24617,38453,33664,12673,17727,7082,18604,18154,9585,66012,4940,25037,25600,36447,46226,37208,20134,65996,44213,74372,69325,20124,78471,57542,55372,46030,52487,379360,93959,49815,56030,58664,82682,67978,51501,28225,66752,16292,19511,40327,12899,7421,6242,29092,21266,15769,86781,15177,26399,15250,45689,43017,62669,89424,89716,55740,60344,155930,49610,72644,89475,50330,136929,44199,37207,33408,28309,23352,73051,37784,16082,17570,83241,47586,47440,47741,27652,25415,9964,9373,9663,20458,19491,29016,37841,60766,57646,26307,26593,26131,25880,25537,19507,18720
2016/5/7,9883,22508,48974,116428,33291,24252,17990,7756,5027,20753,4121,6812,15929,14766,24591,13456,14187,8308,16168,8334,12878,13988,4174,45437,4556,23505,20293,28420,33065,29655,17652,67045,39748,60025,65059,9946,65945,47739,43360,38790,28491,351704,88370,39922,38273,66462,75624,61021,43459,19825,49875,12376,13500,30616,12765,6146,4635,18373,18184,12569,81285,11762,25356,13101,37072,31009,56840,82410,70048,44771,58333,164818,35881,63576,80061,46544,116694,37393,31039,20545,19418,17786,62791,27054,19325,12533,42273,40401,32689,36364,18946,23667,8674,5060,8092,16414,18264,21999,26383,42686,51898,23084,21955,22922,20522,22233,15935,16104
2016/5/8,9857,16526,35136,90085,22632,16759,13314,6711,4052,16393,2843,5219,13706,10965,21962,9919,10633,6777,11806,5319,9710,10980,4203,33537,3750,19805,17162,22979,26779,23811,15338,47053,30309,40792,57570,6722,53131,37713,36215,33132,21042,335027,67226,27256,32421,54778,58315,45531,43786,15011,40146,10733,9904,26604,11067,5128,3410,14646,15121,10093,75580,11198,22565,11104,32255,24136,44405,72633,57929,36304,46970,124911,23437,46379,56031,38041,106649,26160,24259,17265,16727,13237,53887,19671,14192,9372,29402,32512,24750,27121,14593,19815,7508,4106,6156,12561,14794,18400,21345,31820,39004,17649,18197,20000,17381,18609,13301,13787
2016/5/9,12060,30913,71509,88041,48186,30638,22678,7713,6034,29763,4343,8896,10409,20429,19157,34926,30528,10949,15351,5963,16356,15907,8800,54713,4189,22170,22930,31644,41315,31900,17695,52671,35082,63769,54766,19181,70331,51722,50340,41825,49993,282333,67161,44361,49319,50002,65723,55256,44613,26052,61698,14760,17203,35254,9821,6604,5969,26487,19501,14433,74324,13602,23398,13752,41512,40571,52850,72300,80752,50405,53000,119436,40016,59080,71729,39543,109645,37763,33854,29844,25089,20044,55196,32689,13562,15342,73434,42765,41696,41659,25971,21865,9340,8673,8886,18773,17303,24452,33209,53752,44410,23673,24385,23644,24084,22616,17435,16940
2016/5/10,11881,32124,75769,92086,50508,31932,24014,8064,6083,31649,4550,9084,11170,20955,20155,36842,31930,11130,15987,6113,16344,16694,9352,55083,4315,22233,23608,31992,42458,33147,18665,54473,37322,67658,59110,20115,72826,53492,51675,42851,51380,262033,69675,44752,49902,51565,65493,56600,45865,26709,62740,15405,18417,36337,11293,6892,5945,27079,19904,14506,70680,13763,23692,13464,42088,41810,54786,73435,83132,51460,53533,121532,46929,62617,74653,41859,108792,40889,34317,30985,25458,19978,49461,34064,14280,15559,76329,44202,43826,41529,25996,22445,9458,8921,8675,19378,17802,24161,34683,55646,46746,23977,24488,23758,24238,23151,17482,16654
2016/5/11,11934,32692,76253,93017,50599,32228,23878,8155,6395,31964,4491,9174,11597,21778,20366,37597,31931,11237,16055,6323,16801,16896,9045,56389,4394,22933,23466,32651,43380,33393,18595,56157,37850,67565,59489,20058,73938,54609,51828,43276,51745,264178,72603,48861,51093,51768,70837,59074,48428,27047,65057,15508,17978,37330,11769,7152,6184,27577,20565,14796,73554,14098,23277,13963,42291,41670,56269,73048,83861,52493,55396,129540,46860,64268,77162,43265,110325,40511,34608,30817,25044,21229,53627,34390,14595,15566,78161,44608,43839,44059,26365,22620,9559,9132,9280,19104,18309,24692,35378,56358,48028,24376,24958,24048,24541,23823,17839,17293
2016/5/12,12302,32617,76495,94384,50670,31770,23804,8294,6433,31191,4540,9140,12286,21296,20523,36699,31416,11513,15762,6401,16645,16667,9039,57306,4682,22828,23256,32537,42429,33086,18501,56052,39338,66482,58624,20342,72491,53531,51028,42983,50682,275461,73518,47247,51363,53626,71860,58552,46568,26636,63673,15247,18118,36956,11149,6853,6067,27287,19874,14882,75250,13836,23545,13629,42066,41475,55017,72294,82744,51690,54674,130835,46092,64455,76967,43537,114670,40225,33761,30806,25569,21673,61388,33689,14629,15549,76651,44800,43310,43778,26282,22279,9423,8673,9166,19113,17746,24769,34799,56078,48122,24199,24611,23769,24048,23176,18266,17151
2016/5/13,13499,35000,80612,115007,54359,32391,26123,8708,6530,34630,4784,10181,13647,22338,24859,37682,33122,13393,17444,7198,19012,18655,9563,59096,5087,24741,25494,35436,45255,35553,20314,67048,45256,72000,64795,20612,78911,58026,54943,45800,52977,364990,86001,51906,54347,59036,84473,65789,50752,27559,67299,16030,18587,39345,12843,7318,6119,29431,21532,15192,88256,14929,26360,15496,45538,43045,63394,87707,88212,55925,58846,167116,49342,72732,93188,51755,138327,41109,37370,33256,29095,23760,99951,37945,16886,17635,82185,46837,46542,47612,28329,24553,10290,9540,9881,20808,20162,27484,37456,59830,54409,26759,27096,27495,25597,25137,20803,19048
2016/5/14,10914,23603,50684,117004,37819,23868,19658,7629,5524,25440,4018,8285,19023,17084,29773,13960,16945,10772,16076,7875,13420,14393,4784,39845,5012,24728,20077,28990,35348,33114,17771,68675,45026,59979,53941,11344,67643,48204,43568,39361,32285,378255,84641,41667,38690,60247,85871,60700,43951,20320,52032,12923,14145,32004,14750,6340,4427,19912,19133,12313,96896,11922,27270,13371,37951,31738,59665,83815,73314,45142,61464,175207,36859,72094,86312,45928,127702,33541,33080,21396,20785,20454,107800,28547,21104,13561,44784,34088,34226,40867,21633,21013,10487,5814,8823,16190,18597,22407,28586,43983,52132,22624,21947,25234,21218,23240,17010,16332
2016/5/15,10547,18536,38603,95127,30635,19200,15650,6997,4523,23982,3167,6986,17397,13666,23057,11798,12973,8451,12729,7857,11185,12369,4196,32901,4667,22197,17572,24655,28612,31106,15194,59714,37739,47635,60008,8380,56910,40834,38241,33291,24513,371452,71661,29432,36923,57301,72388,52233,44864,16317,43440,11232,10522,27950,13255,5713,3852,16870,16191,10899,91003,11354,22284,11658,32623,25290,49945,74400,61249,39924,50773,154119,29165,59046,70015,36829,105276,27393,26588,17868,18287,16295,84576,21829,21101,11537,34517,29736,27855,31709,17060,17302,8166,4827,6953,13602,15633,19878,23453,36369,44543,19653,19071,20093,18439,19066,15286,14315
2016/5/16,12272,32686,75266,90119,50162,31194,23642,8187,6093,30758,4288,8753,9923,20537,18921,36020,31417,11196,16067,5846,16845,16307,9574,55776,4396,21857,23217,32134,42311,32340,18322,54029,36248,66616,55925,20161,73463,53456,52026,42431,51430,279752,67542,45383,49855,48713,64685,55160,44785,25637,61959,15078,17556,35015,10547,6701,6060,26542,19076,14023,70349,14142,22993,13845,41889,41279,54186,74427,81945,50895,52963,127386,43420,60886,74268,41755,112300,40689,34286,30130,25374,20013,78233,34212,13771,16206,77269,42812,43898,42684,26351,22177,9375,9169,9229,19974,18275,25365,34635,56780,46948,24424,24068,23989,24755,23871,17866,17498
2016/5/17,11998,32529,75059,90797,50334,31215,23609,7943,6293,31381,4438,9158,11811,20820,19857,36121,32089,10967,16078,5957,16645,16139,9032,57437,4354,22079,23009,31951,42368,32734,18550,54364,36927,66795,58151,20030,72257,53066,50793,42618,51754,264237,69287,45463,50274,51666,69623,56979,46767,27100,63489,14784,18064,36362,11737,6739,6135,27379,20235,14500,71617,13893,22759,13455,42114,41837,54074,72301,82027,51463,53384,124524,45475,60478,74501,42136,108095,40766,33893,30623,25167,20741,55095,33956,14423,15624,75506,42748,43257,42891,25836,22292,9289,8845,8993,18907,17789,24343,34737,55034,47115,23979,24676,23512,24374,23200,17612,17033
2016/5/18,11833,32399,75323,92851,50030,31388,23573,7958,6087,31230,4542,9280,13110,21326,20784,36289,32393,11277,16362,6535,16846,16588,8928,58213,4254,23054,23632,32461,41683,33143,18525,56090,38275,67166,60773,20132,72439,53396,51527,42659,53194,266567,71368,45975,50266,52534,70405,58978,49813,26332,64268,15199,17729,36839,11612,6987,6157,27194,19985,14405,74346,14163,23225,13599,42166,41020,54742,74258,83188,52020,54162,129517,47196,62126,74641,43159,109159,40528,34135,31453,25784,21825,53751,34115,14554,16004,77653,42746,43570,43177,26096,22374,9589,8977,9207,18978,18252,24980,34622,56542,47775,23941,24501,23568,24096,23385,17829,17061
2016/5/19,12328,32399,76605,94563,50795,31490,23806,7974,6540,31418,4487,9177,12344,21147,20685,36314,31203,11313,16003,6891,16709,16345,8939,56415,4638,24118,23217,32753,41814,33550,18514,56309,38387,67929,61996,20628,73092,53525,51207,42658,55695,277061,72319,45235,49989,52769,70198,57840,46601,26368,63739,15235,18239,36735,11669,7011,5930,28755,20165,14690,75457,13665,23085,13654,41993,41107,54993,73832,82669,51332,54341,131497,46219,62045,75972,42363,111887,40600,33668,30989,25480,22003,54320,34112,15078,15819,76452,43598,43591,43713,26295,22046,9664,8889,8895,18881,17695,25428,34786,55276,48950,24011,24534,23629,24302,23027,17650,16876
2016/5/20,13913,34435,79677,108114,52956,33528,25028,8425,6568,33341,4785,9473,13106,21642,25365,37500,32714,12583,17310,7218,17827,17657,9166,59213,5055,24721,25509,35124,44750,36973,20076,65572,43731,73329,73080,24244,79041,57733,54235,45309,69376,352128,82411,48403,53376,56663,80127,64037,50740,27063,66668,15837,18118,39123,12482,7289,6263,28146,21084,15239,86000,14908,25496,15048,44909,42414,61262,84799,87066,55584,58827,159153,48772,67883,87785,49268,129837,42175,35507,33077,27789,23387,80496,37585,16895,17516,80363,45661,47035,46704,28015,24175,9959,9217,9745,20058,19424,27654,36251,59057,54389,25750,26373,25732,25652,24741,18935,18447
2016/5/21,11333,24074,49931,116478,38671,25381,19700,7877,5289,23834,3960,7084,19647,16951,28656,13836,15843,8871,15723,6891,13015,15860,4153,38517,5335,23183,20686,31495,34743,30502,17950,69743,44389,63956,53794,11366,68472,50206,45103,39598,32515,366545,85332,41004,40256,57420,79046,61981,43893,20090,53133,12552,13680,33569,16020,6593,4517,20004,19104,11626,86040,12081,23615,13017,41119,32296,60857,85109,77385,45249,58732,178569,33812,69088,86760,44483,124691,33904,31592,20879,23909,17548,91282,28272,18902,13203,45524,38072,34165,37905,21846,24486,9652,5119,9946,23508,19524,23753,28450,48113,53429,22590,22557,23738,22341,22936,16505,17749
2016/5/22,10880,18966,37634,90401,28320,19080,15058,6404,4477,17575,3171,5778,15976,13533,24696,10652,12862,7926,12921,7018,10553,11640,3687,36626,4549,22269,17719,24928,29551,27447,15532,60823,36178,47723,47643,8613,56954,41044,37689,33886,24701,350514,69019,29597,35736,52802,67048,49034,45254,15336,45338,10762,10782,28238,13516,5688,3464,17138,16063,10761,89770,11317,20588,11514,32517,25922,50272,74645,60897,39422,51333,150819,28996,56527,66254,35611,103021,27948,25774,18010,17201,16960,80216,21884,19010,11246,32182,22006,27940,31176,16664,20994,8333,4297,6977,14864,15192,19851,24081,36207,42921,18769,19579,20446,18939,20486,14846,15219
2016/5/23,12762,31573,72288,88328,49446,30792,22836,7948,6088,29794,4363,9037,10939,20708,19077,34997,30294,10760,15820,6298,16812,15950,8955,54526,4368,21854,22756,31785,41482,31436,18178,54823,35574,65304,56013,19741,71989,51730,50666,41826,50884,281432,66557,44579,48892,48860,64205,55034,44473,25622,61622,14950,17415,33778,9834,6730,5852,26598,19473,14242,72893,13332,22713,13523,39030,40102,53238,73179,79981,50021,53065,121673,43844,59657,72775,42371,112167,38802,33239,30317,22925,20254,73003,32901,13791,15192,74459,42924,42382,41136,26140,21650,9000,8592,8693,18807,17187,24602,33980,54123,45327,23805,23974,23700,24380,23305,17461,16735
2016/5/24,11775,32058,74357,89584,49830,30707,23414,8009,6152,30726,4474,8978,10968,20782,21011,35547,31631,10860,15909,5993,17170,16328,8909,55400,4354,21796,23058,31943,41347,32464,17950,53233,37357,66474,58397,20489,72075,52713,50569,42697,52803,263589,69053,45165,50399,51665,69781,58102,46408,26697,63110,15376,18251,36076,11710,6981,6152,28000,20394,14492,72836,13671,22660,13220,41771,41790,54399,71847,81919,50841,53508,124020,44835,61002,73830,41714,107577,39668,33003,30228,24851,20458,52859,34011,13902,15671,76457,42655,42965,42497,26088,22285,9159,8680,8878,18942,17957,24607,34494,55910,46440,23816,24690,23607,24330,23295,17377,16846
2016/5/25,11966,32224,75570,91781,49588,31829,23494,8118,6359,31244,4607,9191,13604,21080,19829,35892,31923,10869,16214,6578,17361,16341,8901,56047,4507,22718,23582,32833,42337,32825,18742,54896,37762,67307,60410,20367,72775,53757,51365,43051,50889,267442,72088,44794,50369,51374,69394,58927,48960,26679,63036,15069,17711,36851,11110,7046,5968,27220,20282,14344,75252,13938,23245,13896,41782,40720,54905,72925,82064,51720,54950,126994,46259,62734,76023,42610,108846,40384,33237,30760,25457,21580,51696,33886,15037,15869,76390,43956,44392,43200,26278,22394,9286,8742,8899,19271,17865,24920,35162,55494,47834,24311,24426,23760,24542,23261,17883,16906
2016/5/26,12350,32738,76133,94157,50493,31904,23542,7852,6214,30777,4651,9121,12870,20996,20892,36767,31379,11062,15932,6458,16802,16130,9096,56026,4612,22172,23138,32477,41503,32418,18173,56863,38020,66633,61109,19939,71535,51788,50858,42332,51017,274815,71724,45179,50394,51050,71013,58513,46348,26138,63197,15157,18004,36287,11715,7021,6030,27632,20134,14571,75062,13549,23260,13103,41447,40488,54965,73557,81891,51463,52812,125654,45683,63538,76686,42070,112570,40125,33306,30522,25667,21042,52793,33697,14476,15300,77129,43807,42579,43314,25773,22395,9314,8655,9085,18663,17645,24890,34655,55099,47803,23564,24146,23663,23853,22883,17805,16647
2016/5/27,13818,34066,79816,108125,52948,33945,25147,8544,6207,33335,4607,9463,14309,21934,23372,36979,32277,12096,17189,6676,17944,17326,10109,58525,4980,23304,24859,34693,44524,35020,19829,63371,41693,71276,65555,20948,76398,56104,53734,44304,52579,349069,81545,47796,52515,55646,74630,64147,49211,26686,65458,15932,18126,38601,12038,7245,6119,28391,20936,15145,81319,14500,25070,13971,44207,41841,59071,85546,86347,53679,54881,144035,49053,67812,86698,48037,128130,42684,35617,32456,28292,21922,58009,37099,15661,16816,80199,45738,46759,44415,27348,25322,10056,9138,9355,19470,19340,27135,37096,58824,52467,25247,24953,25014,24977,24674,18929,17671
2016/5/28,11101,24755,51221,114264,35911,24921,18922,7724,5755,22389,3729,7002,16144,16706,27498,14178,15468,8598,15896,7790,12577,13788,4355,40514,4705,23176,20013,29007,34419,31680,18337,69285,43796,59934,54979,11962,67662,49468,44668,38508,30850,361081,84595,40409,37546,64493,79745,59826,44102,19978,53866,12614,12961,32152,15250,6607,4256,19841,20079,13079,90500,11814,22471,13036,36820,31476,59785,83759,73454,45208,56158,168224,35996,64021,85068,44881,118814,33763,31861,21007,21407,18693,52777,28083,20280,13652,43748,41228,35655,38890,21426,26030,10144,4945,8910,16178,17907,23143,28419,45913,51830,22138,22140,23268,21572,22369,16203,16043
2016/5/29,10854,19415,36870,92254,27229,19371,15187,6836,4265,17902,3149,5621,16030,14219,22336,11659,12004,7111,12321,7064,10650,11423,3867,32251,4540,22133,17329,24139,28264,25625,15601,60771,34801,46364,44211,8344,55418,39758,36202,32307,24203,333760,68275,27703,34404,50137,65963,48353,43873,15147,47091,10536,10374,27753,11198,5403,3581,16621,15742,10212,84679,10570,19521,10512,31306,24243,47202,71380,59014,36744,47702,140456,27487,54522,66316,33637,97596,27366,26029,17463,18035,16540,43280,21326,18291,10623,31988,23547,27386,30812,16064,19585,7387,4313,6779,13374,15011,18460,22530,33411,43402,17704,17716,18025,17542,18222,13329,13219
2016/5/30,12088,31258,72016,88088,47785,29735,22516,7643,6232,29012,4353,8915,10770,20386,18597,35157,30486,10587,15696,5947,16568,15729,9080,58196,4298,21254,22610,31821,41023,32022,17727,52955,35159,63337,56056,19702,70745,51279,49733,41656,51287,272988,67876,43579,48151,48281,63937,54593,44179,25874,60387,14766,17068,35154,9533,6597,5541,26072,19359,13720,71844,13344,22388,13240,40322,39977,52604,71035,78899,49719,51582,121770,42626,58932,71591,41760,109950,38328,32510,29880,25647,20267,53255,32346,13328,15392,72758,43081,42510,41977,25420,21017,8896,8588,8585,18516,17290,23731,32829,53184,44239,23026,23505,22903,23258,22303,17476,16253
2016/5/31,11690,32261,75190,91915,49835,30765,23188,7925,6233,29995,4478,9096,12392,20694,19927,35806,31713,10746,16143,6393,17134,16338,9390,71696,4357,21488,22425,32081,42049,32396,18184,55116,36960,65614,59918,20177,71271,52175,50559,42941,52301,265869,70478,44373,49296,50738,67000,56971,46237,26455,61709,15120,17445,36074,10122,6868,5649,26599,19775,14236,70920,13380,22635,13414,41151,41123,53931,72049,81127,51156,52393,122788,46063,60016,75139,41952,113604,39977,32967,30452,26287,20797,62237,33810,14320,15428,75225,42297,42834,43019,25856,22003,9419,9248,8728,19048,17987,24451,34082,55328,46449,23923,24276,24135,24481,22596,17474,16588
2016/6/1,11818,33029,75320,94614,50051,31857,23554,7971,6371,31235,4608,9413,14468,21617,20891,36533,31175,11295,16213,6469,17467,16893,9498,75517,4466,22366,23197,32879,40877,33100,18464,56835,37039,66267,60981,20010,72339,53036,50660,42396,52773,270669,72268,45648,49184,51242,68763,57691,49025,26167,63310,15216,17717,35994,10472,6767,5799,27387,19603,14281,72107,13704,22518,13541,41735,40965,54857,72164,81854,52069,52219,130289,48455,62856,77183,42572,115012,40449,34118,30686,26486,21078,64235,34196,14132,15499,77462,45343,43701,42889,26555,22334,9341,8886,9110,19461,18161,24564,34591,55564,47439,23845,24476,24154,24489,23011,17578,16992
2016/6/2,12006,33119,76938,94745,51754,31760,23753,7995,6191,30371,4440,8353,11230,21029,21198,37191,30531,11804,16261,5830,17052,17257,9815,79140,4499,21324,22921,32327,41481,32169,18413,55234,38095,66786,57101,19930,73570,52468,50598,42069,51141,272095,70503,44234,48227,48980,64511,55609,44857,26376,60287,14938,17698,33405,9769,6784,5613,26677,18319,13958,66976,13568,22711,13156,40988,41105,54970,73593,80955,50506,50396,124788,45751,61698,76576,42626,117017,39915,33152,31071,27845,19720,65521,34411,13064,15266,77452,43539,43430,41587,26072,21525,8942,8724,8973,19405,18168,24014,34644,55035,45662,23573,23604,23397,23948,23028,17150,16992
