date,BR13,BR12,G16/BR11,BL15/BR10,R05/BR09,BR08,BR07,BR06,BR05,BR04,BR03,BR02,BR01,BR14,BR15,BR16,BR17,BR18,BR19,BR20,BR21,BR22,BR23,BL23/BR24,G03A,G01,G02,G03,G04,G05,G06,G07,G08,O05/G09,R08/G10,G11,O04,O03,O02,O01,R09,R10/BL12,R11/G14,R12,O11/R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R22A,R23,R24,R25,R26,R27,R28,BL01,BL02,BL03,BL04,BL05,BL06,BL07,BL08,BL09,BL10,G12/BL11,BL13,O07/BL14,BL16,BL17,BL18,BL19,BL20,BL21,BL22,R02,R03,R04,R06,G13,O08/G15,G17,G18,G19,O19,O18,O17,O16,O15,O14,O13,O12,O10,O09,O06/R07,O54,O53,O52,O51,O50,O21,O20
2015/8/11,12316,33073,76403,105071,42765,30024,23192,7878,6196,26191,4457,8098,14212,16965,20975,31914,29298,10886,16205,6421,15591,16542,8610,57132,4294,20378,23462,32029,40453,30002,18638,57635,39419,68661,59983,15169,70309,52156,51630,41006,53109,327264,78285,48333,48467,50899,71639,57568,46652,24734,61590,15331,16701,34604,12258,7724,5432,23423,19362,14643,73159,12158,24699,13804,40352,38186,57765,78731,79591,50678,54763,148724,42912,66198,86833,49041,119058,38380,33653,31670,23924,19763,73040,33550,13850,14046,75946,47671,40747,40831,17400,22163,9382,8645,8206,17435,17231,22290,31759,57344,48779,23107,23220,24089,23240,22313,16747,16134
2015/8/12,12429,33057,76660,107333,43678,30212,23553,8050,6380,26738,4578,8472,13162,17882,21439,32398,29834,11240,16485,6392,15953,16491,8457,57713,4306,20524,23534,32258,40169,29372,18649,58028,39922,69561,61404,15509,70415,52968,52716,42009,53088,326475,79423,50214,49271,49871,71628,60635,48721,24691,62014,15332,16861,34808,12569,7748,5648,23603,19479,14651,74268,12268,25561,14301,40609,38641,58121,78907,79655,51274,55347,150023,45179,67938,88513,49356,120225,38778,35205,31256,23530,20348,59603,33207,13882,13968,77473,47447,41467,41851,17259,22056,9465,8924,8096,17486,17351,22968,32542,57131,50613,23181,23664,24058,22993,22488,16438,16142
2015/8/13,13313,33265,76773,107256,43194,29770,23313,7844,5863,25690,4337,8060,11746,17131,20642,33071,29131,10499,16201,6074,15371,15943,8952,55685,4341,19804,22849,31372,39747,28326,18703,57086,38687,68803,59069,14709,69462,52022,51754,40571,50564,327956,78793,48876,48036,50699,69252,56933,45970,24069,60455,15246,16479,34388,11785,7436,5467,22230,18890,14716,70929,11669,24774,13111,39403,37967,56864,80723,79028,49999,53913,147377,44273,66762,85953,48094,119851,38394,33125,30951,23296,19153,61322,33001,13363,13739,77740,39207,41171,38772,16810,21831,8995,8569,8126,16901,17054,22632,32007,57662,50179,22567,23431,24070,22357,21948,15949,16055
2015/8/14,14157,34899,79237,118344,44402,30356,24404,8350,6248,26621,4646,7872,12459,17607,24270,32622,30543,11073,17087,6514,16343,17185,8606,59331,4593,21378,24545,33400,42672,31272,19636,63488,41813,70582,63739,15325,73162,53661,53726,42551,50654,373164,86973,50879,49348,53758,73527,61236,48866,24905,61205,15655,16857,35563,13247,7471,6205,22365,19462,15071,74311,12212,31069,14537,40672,37841,61353,88073,83262,52649,58973,163561,43827,69229,97551,54346,133720,40256,35800,32352,24707,20857,66274,34970,14366,14534,80051,54266,43542,45388,16412,23538,9249,8768,8518,17607,18112,24334,33758,57149,53303,23658,24767,24821,23339,23019,16617,16652
2015/8/15,10426,24307,49523,120060,31084,21937,18520,7909,5509,24795,3780,6617,22324,14924,29499,14081,15114,9443,15797,7058,13370,15060,4437,40525,4427,20640,20444,28270,32163,30157,17597,69506,42239,58221,61011,7806,67198,47865,46541,37910,30662,385113,85911,42628,38625,54791,84472,61744,45969,19179,53365,12433,13071,30333,14137,6709,4163,16374,17987,13986,91095,10801,28612,14796,37203,30442,60279,91180,73740,44744,56545,184272,31590,87534,89117,51044,129248,32094,34030,21988,21479,16850,66420,26786,18491,12534,44716,36499,31185,38249,15677,20183,8752,5266,7045,14908,17930,22112,26337,39990,50079,21258,23059,22364,20846,21340,14895,16008
2015/8/16,10680,19233,37020,97128,24119,18391,14565,7681,4541,19033,3271,5407,19787,12533,25075,10731,12832,7272,12581,5699,10550,12382,4238,48221,4017,18549,17318,23591,27563,25561,15139,56870,33582,43430,43577,5892,56290,39669,37513,32596,21277,372875,66789,28052,34801,45873,70311,51549,45009,15216,43953,10444,15102,26098,13344,5327,3167,13884,15167,11265,79906,9550,26033,12584,31531,24390,48352,79313,60174,36730,47621,154874,29465,62752,68431,40423,104953,26383,28407,18170,17981,13920,53344,20561,16281,9664,33753,29459,25204,30676,13647,22903,6693,4015,6332,12239,14452,18037,21852,32874,41872,17504,19005,18874,17424,18040,12586,12872
2015/8/17,12620,31351,70614,98716,40789,28008,22692,7913,6024,26205,4414,7885,11818,16211,19999,31300,28248,10124,15903,6258,15372,15603,8030,54965,4034,20453,22490,30329,38741,28984,17552,54771,36031,64972,54297,14133,68217,50795,50048,39733,49954,317371,73004,47084,46300,46510,64993,53986,44445,24152,59142,14629,19734,33116,11356,7094,5399,21510,18751,14253,75040,11858,26185,13698,38663,37189,55287,77442,77611,49054,53577,144731,38469,62899,81821,47936,115643,36284,32887,30061,22015,19713,55759,31884,13324,13608,73478,35963,41029,39653,14853,20595,8889,8039,7862,16207,16027,21457,30649,52215,46248,22096,23015,23059,21998,21759,15487,15189
2015/8/18,12517,32737,73438,104083,41507,29343,23155,8035,5918,25871,4474,8019,15551,17315,20036,32640,29273,10006,16183,6267,15436,15848,8881,54796,4244,20208,23035,31128,39643,28587,18422,57625,37427,66670,57810,14263,70039,51436,51728,40453,52118,321067,76183,46732,47419,50271,65849,55918,45835,24667,59693,14922,19710,32922,12231,7155,5436,21767,18914,14455,70231,11809,26600,13365,39201,39344,55814,80016,80606,49574,51499,143671,41864,62145,81402,48306,116270,38660,32760,31257,23343,18963,55517,32218,12815,13577,75252,40516,43677,37664,15697,21650,8953,8393,8103,17130,17012,21905,31612,52468,46867,22693,22879,24127,22518,22211,16011,15522
2015/8/19,12597,33425,74464,107107,43978,29884,23417,8448,7953,27116,4281,7970,16337,17319,21394,32305,29595,10634,16403,6705,16199,16708,8348,57105,4324,20854,23487,31227,39776,29274,18661,59435,40033,69991,58012,14146,71470,53361,52298,41336,52591,320261,78447,48525,48621,50177,70798,58711,49963,24387,61940,15169,19636,33818,12220,7452,5334,21957,19249,14967,74631,12365,26701,14428,40967,38439,57833,78685,80338,51315,54771,152321,43617,66125,87689,50310,118683,38934,33901,31016,23549,20242,58408,33899,13963,14347,76667,38269,42964,40958,15338,21645,8970,8671,8026,18203,17259,22329,31863,54897,49687,22786,23850,23954,22720,22193,16147,15665
2015/8/20,12905,33418,75245,110486,43855,29851,23757,8103,7913,26785,4442,8202,16706,17427,23579,32473,29132,10630,16958,6722,15875,16325,8660,56996,4576,20968,23566,31705,40084,29814,18977,59728,39378,67943,58373,14156,71112,52485,52167,41051,51706,323271,79868,48121,48037,50798,71818,58232,47767,24021,60659,15317,19993,33479,12412,7417,5582,22217,19415,14789,76137,12150,26842,13928,40782,38840,58034,81417,81094,51411,54109,159789,41681,65792,86748,51363,122991,38679,33407,31523,25273,20611,60592,33785,14317,14321,78299,38427,41550,41655,15643,23434,9282,8394,7995,17106,17290,22782,31800,54200,50217,22895,23502,23704,22691,21925,16265,15779
